Organisation,Address,Website,About,Email,Twitter,Phone number,Latitude,Longitude
Maggs Day Centre,"Deansway, Worcester WR1 2JD",maggsdaycentre.co.uk,"Maggs was founded in 1984 after a homeless man died after years of sleeping rough on the streets. His death prompted members of several local churches to come together and form an action group. Their work led to a day centre being created in the former St Albans church, dedicated to helping the homeless people of Worcester. It opened in 1985, just before Christmas",mkirk@maggsdaycentre.co.uk,No account,01905 25027,52.190342,-2.222085
The Nomad Trust,"15A Monks Rd, Lincoln LN2 5HL",nomadtrust.org.uk,"The Nomad Trust is a Christian based registered charity which provides welfare services in the City of Lincoln for those who are homeless or otherwise in need.
 
 The Nomad Trust upholds the worth and dignity of all individuals and asserts that everyone should have the basic essentials of life, not least companionship.",ian.sackree@nomadtrust.org.uk,No account,01522 883703,53.230694,-0.534567
Shelter Devon – Plymouth,"Ernest English House, Buckwell St, Plymouth PL1 2DA",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 2399,50.369362,-4.137599
The Robes Project,"256 Bermondsey St, London SE1 3UJ",robes.org.uk,"In 2016, 468 people slept rough in Lambeth, and 373 in Southwark. Sleeping on the streets is so tough during the summer, that it’s hard to fully imagine during the cold of the winter. 30 or so churches in Southwark and Lambeth, who lend us their church or community halls for one night a week.",robes.admin@robes.org.uk,https://twitter.com/robesproject,020 7407 5623,51.497323,-0.082587
"The Samaritans of Slough, Windsor and Maidenhead","Katherine House, 17 Uxbridge Rd, Slough SL1 1SN",samaritans.org,"Every six seconds, somebody contacts us. Ten times a minute, we can help someone turn their life around. That’s a privilege, and a huge responsibility.",jo@samaritans.org,https://twitter.com/samaritans,01753 531011,51.507649,-0.582708
Womens Refuge,St Albans AL3 5DL,stalbansandhertsmerewomensrefuge.org.uk,"St Albans and Hertsmere Women’s Refuge aims to provide a safe comfortable, conflict free environment for women and women with children who are suffering domestic abuse. We will give advice and support on available options so as to enable a woman to make informed choices, feel more confident and take control of her and her children’s lives and future.",info@sahwr.org.uk,No account,,51.752725,-0.339436
Shelter charity shop (Brighton),"93 Western Rd, Brighton BN1 2LB",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,01273 710581,50.824642,-0.151839
The Kings Arms Project,"King's House, 245 Ampthill Rd, Bedford MK42 9AZ",kingsarmsproject.org,"At the King’s Arms Project, Bedford we believe that there is no such thing as a hopeless case. We refuse to give up on anybody and believe that every homeless person can have a bright future.",moh@kingsarmsproject.org,https://twitter.com/KA_Project,01234 350900,52.118837,-0.476137
Shelter Merseyside - Liverpool,"Stanley Building, 43 Hanover St, Liverpool L1 3DN",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1900,53.40327,-2.984521
Coastline Homeless and Social Exclusion Service,"11 Basset Rd, Camborne TR14 8SB",coastlinehousing.co.uk,"The challenge faced by Coastline Housing is enormous. In many areas of Cornwall, high house price rises have excluded many people from owning their own home. Thousands of families have registered for affordable rented housing in the county and many more are known to be in need.",customer.service@coastlinehousing.co.uk,https://twitter.com/coastlinehouse,01209 200086,50.21244,-5.300674
Shelter Charity Shop (Hammersmith),"123C King St, Hammersmith, London W6 9LG",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,020 8563 2388,51.492457,-0.230456
Booth House,"The Salvation Army, 175, 153-175 Whitechapel Rd, London E1 1DN",salvationarmy.org.uk,"Called to be disciples of Jesus Christ, The Salvation Army United Kingdom Territory with the Republic of Ireland exists to save souls, grow saints and serve suffering humanity.",info@salvationarmy.org.uk,https://twitter.com/salvationarmyuk,020 7392 9490,51.518135,-0.064618
Shelter London - Hackney,"4 Tyssen St, London E8 2FJ",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1447,51.5467,-0.071969
The Samaritans of Mansfield and District,"1A Grove St, Mansfield NG18 1EL",samaritans.org,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,01623 422224,53.140077,-1.196176
The Solace Community,"52 Tettenhall Rd, Wolverhampton WV1 4SL",thesolacecommunity.org,"The Solace Community (founded by Thomas Harvey-Beswick) is a non-profit organisation that provides specialist supported housing for individuals who have experienced homelessness.
 
 Our portfolio of 61 units consists of a mixture of large group homes and smaller dispersed houses all located within a short distance to each other.
 
 Providing accommodation that is of good quality is just part of the services The Solace Community will provide in its aim to break the destructive cycle of homelessness both on the individual and society.",info@thesolacecommunity.org,https://twitter.com/solacecomm,01902 710010,52.588118,-2.14578
Shelter charity shop (Hawick),"66 High St, Hawick TD9 9EE",scotland.shelter.org.uk,"Shelter Scotland helps over half a million people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/shelterscotland,01450 376142,55.42353,-2.785655
Centrepoint,"204 Evelyn St, London SE8 5BZ",centrepoint.org.uk,"More than 400 staff work for Centrepoint across the country, supporting homeless young people into a home and a job every day.
 
 They include front line workers based in our hostels, counsellors and health supporters.
 
 We're also led by a Board of Trustees, which holds us to account, and supported by a wonderful Patron and group of dedicated ambassadors.",supportercare@centrepoint.org,https://twitter.com/centrepointuk,0845 466 3400,51.483902,-0.032216
HARP Southend,"103-107 York Rd, Southend-on-Sea SS1 2DL",harpsouthend.org.uk,"We provide essential services and long term solutions to support local people taking steps to overcome homelessness. Homelessness is a diverse and complex issue, and many that are homeless remain hidden; sofa surfing, sleeping rough away from danger, or living between places as and when the opportunity arises",admin@harpsouthend.org.uk,https://twitter.com/harpsouthend,01702 430696,51.536639,0.719559
Birmingham Churches Night Shelter,"Balsall Heath Church Centre, 100 Mary St, Birmingham B12 9JU",bhamchurchesnightshelter.org.uk,"The Shelter has run for the last 7 years, during which time it has grown substantially from 5 host venues over 6 weeks to 18 host venues over 14 weeks across the city.
 
 This has meant that the shelter has become increasingly complex to coordinate and manage, and after much consideration we realise it has now grown beyond the scope and capacity of Thrive Together Birmingham to coordinate, and an alternative structure needs to be explored. 
 
 We have met with churches and partners and agreed that together we will explore another structure or organisation to take the shelter forward in the hope it will be a stronger and more sustainable project in the future.
 
 Thrive Together Birmingham remains committed to the project and to working with churches and partners to find a way forward. A working group of churches and partners is being established to explore what might be possible in the future and how it might be sustained; any funding raised by Thrive for this project will remain ring fenced and support future developments of the shelter.",No mail addresss,https://twitter.com/BhmNightShelter,no number,52.45815,-1.891697
King's Arms Project,"245 Ampthill Rd, Bedford MK42 9AZ",kingsarmsproject.org,"At the King’s Arms Project, Bedford we believe that there is no such thing as a hopeless case. We refuse to give up on anybody and believe that every homeless person can have a bright future.",moh@kingsarmsproject.org,https://twitter.com/KA_Project,01234 350900,52.118837,-0.476137
Glass Door Homeless Charity,"155A King's Rd, Chelsea, London SW3 5TX",glassdoor.org.uk,"We’re Glass Door Homeless Charity, London's largest open-access network of emergency winter shelters and support services for men and women affected by homelessness. Our vision is a world where no one has to sleep on the streets of London, and we’re working every day to achieve this. By partnering with churches to provide shelter, offering casework to create routes out of homelessness and supporting men and women once they are in housing, we are committed to supporting people get - and stay - off the street.",volunteer@glassdoor.org.uk,https://twitter.com/GlassDoorLondon,020 7351 4948,51.487801,-0.167339
Boutique by Shelter (Blackheath),"24 Tranquil Vale, Blackheath, London SE3 0AX",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,020 8852 9914,51.466174,0.009003
Church Homeless Trust,"Can Mezzanine, 49-51 East Rd, Hoxton, London N1 6AH",churchhomelesstrust.org.uk,"Church Homeless Trust helps homeless people to rebuild their lives. Our roots go back to 1882, when Revd Wilson Carlile began working with homeless people in central London. To this day, we uphold the Christian values of supporting those in need, and we help more than 3,500 people every year.",info@churchhomelesstrust.org.uk,https://twitter.com/ChurchHomelessT,020 7269 1630,51.52842,-0.087879
Shelter Lancashire (Blackburn),"Blackburn Central Library, Town Hall St, Blackburn BB2 1AG",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1831,53.749458,-2.485362
Boutique by Shelter (Turnham Green),"82 Turnham Green Terrace, Chiswick, London W4 1QN",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,020 8747 3714,51.494416,-0.25512
